Gene,0,1,2,3
1552474_a_at,-0.0029303979,-0.004406303,0.0027882503,0.0005521473
1552476_s_at,-0.0004156229,0.0012251645,0.00012295939,0.0066248192
1552477_a_at,-0.0019436972,0.0053927167,-0.0019432048,0.0011650054
1552478_a_at,-0.008188199,-0.005087449,-0.0074559245,-0.006738126
1552480_s_at,0.007199427,0.0026454402,-0.0012992107,0.0061891815
1552481_s_at,0.0032013822,-0.00075370655,-0.007212088,-0.0020019202
1552482_at,-0.0028260536,0.0020727692,0.003828547,0.0029421907
1552484_at,-0.001967952,-0.0050294716,0.0028339152,-0.0037611707
1552485_at,-0.0036560993,0.0052055847,-0.0057980157,-0.0010566926
1552486_s_at,0.0068128994,-0.0037839152,-0.008743713,0.007840681
1552487_a_at,-0.0036311224,0.001668011,0.001002036,-0.00407435
1552489_s_at,0.003551632,-0.00021693899,-0.002564739,0.005921536
1552490_at,-0.0028221847,0.005185362,-0.0014452564,-0.003149003
1552491_at,-0.005550594,-0.003929227,0.0015584156,0.0010074987
1552493_s_at,0.0050266143,-0.003338518,0.006337395,0.0007066713
1552494_at,0.0029286349,0.0069017643,0.0066641923,-0.001225898
1552496_a_at,0.0030091184,0.009662401,0.005249523,0.0030086627
1552497_a_at,0.005772602,-0.005032049,-0.0056987554,0.0016743871
1552498_at,-0.00452091,-0.005559712,-0.0013835821,-0.0041715815
1552499_a_at,0.0019522842,0.0044252067,0.0035611028,-0.0056055095
1552501_a_at,-0.00066132017,0.0064292755,-0.0054281238,0.0022026922
1552502_s_at,0.006249552,0.004133478,0.005080453,-0.002867722
1552503_at,0.0026791603,0.0005051091,0.0009585594,0.0034321635
1552504_a_at,-0.0035189525,8.419643e-05,-0.005609936,0.004695545
1552506_at,0.0027032066,0.006882796,0.0030827108,-0.0007949821
1552507_at,0.0059639784,-0.0019593027,-0.00059368764,0.005574055
1552508_at,0.00052871933,0.0033178371,0.0035698288,-0.0019121122
1552509_a_at,0.0019321179,0.004621499,-0.0007497012,0.0027672814
1552510_at,0.0061559295,-0.0039356886,-0.005824973,0.005356456
1552511_a_at,-0.007136143,-0.006751351,-0.0051079374,0.0013940439
1552514_at,-0.00066517736,-0.004770675,-0.0034274547,0.0055830507
1552515_at,-0.007284512,-0.006064219,-0.005513705,-0.004855373
1552516_a_at,0.0054876115,0.004799004,0.0020321403,0.0009743719
1552518_s_at,-0.0009232414,-0.005206496,0.0040052743,0.0055304654
1552519_at,-0.003136306,-0.00017880181,0.001623463,0.0067404965
1552520_at,0.006167231,-0.00311419,-0.0063367095,-0.002396623
1552521_a_at,0.0056100064,-0.004683484,0.00820578,-0.004348439
1552522_at,0.0036947087,-0.000959221,-0.0007564297,0.0014987043
1552523_a_at,0.0061593005,-0.0026171757,0.00011411526,0.0032810357
1552524_at,-0.0007226497,0.00760591,-0.0057333554,-0.0004811448
1552526_at,0.0052586226,0.009128661,-0.004319238,0.0033591937
1552528_at,-0.00598476,0.0016888195,0.002988281,-0.00459392
1552531_a_at,-0.0046069645,0.0059222635,-0.0024474417,-0.003492789
1552532_a_at,-0.00790065,-0.007265842,-0.0036560758,0.00014568467
1552535_at,0.0049029044,0.005051088,-0.0061865733,0.00047163255
1552536_at,0.00365594,0.0066120946,0.0013860608,-0.0022639842
1552538_a_at,-0.0035293633,-0.0040183314,0.003433863,-0.001091834
1552540_s_at,0.005855448,0.0039028088,0.0057134097,-0.006004908
1552541_at,-0.0011916383,-0.00091829157,-0.005754403,0.0011421026
1552542_s_at,0.0005671741,-0.0071626888,-0.0010632771,0.006494579
1552543_a_at,-0.006613183,0.0011655097,-0.004124997,-0.003238889
1552544_at,0.0045848805,-0.005406483,0.003775013,0.001665229
1552546_a_at,0.0012790059,0.0034789557,0.007584847,-0.0034695554
1552548_at,-0.0048116124,-0.00527665,-0.006606468,0.0053944453
1552549_a_at,-0.0046850024,0.0001879415,0.0015080755,0.0058863256
1552552_s_at,-0.0053243493,0.007351718,0.0026820428,0.00731644
1552553_a_at,-0.0039672973,0.004375635,-0.0013579105,-0.0014277728
1552554_a_at,0.0038846068,-0.003847606,0.0028317214,-0.00019776415
1552555_at,0.00600657,0.0028152487,0.0049609076,-0.0046264455
1552557_a_at,0.0025678177,-0.0057310937,-0.002049571,-0.0029026326
1552558_a_at,-0.0020741161,-0.0006891252,-0.0042151487,0.0002982779
1552559_a_at,-0.004563587,0.0050807013,0.00052589196,-0.00305053
1552562_at,0.006606277,0.005652182,-0.003544583,-0.007378516
1552563_a_at,-0.00736747,0.004673459,0.0024686493,-0.0072193765
1552564_at,0.0037949001,0.0056297053,0.0058104875,-0.0010259254
1552566_at,-0.006808367,0.008710867,0.008377081,-0.00015789914
1552568_at,0.004631687,-0.0013884823,-0.005183003,0.002600455
1552569_a_at,0.0013475064,-0.0008583515,-0.0014962133,0.0067483042
1552570_at,0.008021794,-0.0050577773,0.00393023,-0.00608801
1552572_a_at,0.0056513767,0.0002836575,-0.0051965937,-0.0021592411
1552573_s_at,-0.0066876626,-0.006740837,0.0014809571,-0.0006856849
1552575_a_at,-0.008465308,0.0033740823,0.005915596,-0.004616751
